"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type"
"20","tarbase","","hsa-miR-147b","CTNNA1","1495","ENSG00000044115","Degradome sequencing","positive","","validated"
"21","tarbase","","hsa-miR-147b","DDB2","1643","ENSG00000134574","Degradome sequencing","positive","","validated"
"22","tarbase","","hsa-miR-147b","HMGCS1","3157","ENSG00000112972","Degradome sequencing","positive","","validated"
"23","tarbase","","hsa-miR-147b","HOXA9","3205","ENSG00000078399","Degradome sequencing//Degradome sequencing","positive","","validated"
"24","tarbase","","hsa-miR-147b","DNAJB1","3337","ENSG00000132002","Degradome sequencing","positive","","validated"
"25","tarbase","","hsa-miR-147b","INPP5A","3632","ENSG00000068383","Degradome sequencing","negative","","validated"
"26","tarbase","","hsa-miR-147b","MAZ","4150","ENSG00000103495","Degradome sequencing","positive","","validated"
"27","tarbase","","hsa-miR-147b","MCM3","4172","ENSG00000112118","Degradome sequencing","positive","","validated"
"28","tarbase","","hsa-miR-147b","MDM2","4193","ENSG00000135679","Degradome sequencing","positive","","validated"
"29","tarbase","","hsa-miR-147b","MDM4","4194","ENSG00000198625","Degradome sequencing","positive","","validated"
"30","tarbase","","hsa-miR-147b","NDUFA4","4697","ENSG00000189043","Degradome sequencing//Degradome sequencing","positive","","validated"
"31","tarbase","","hsa-miR-147b","NUP98","4928","ENSG00000110713","Degradome sequencing","positive","","validated"
"32","tarbase","","hsa-miR-147b","PRKAR2A","5576","ENSG00000114302","Degradome sequencing","positive","","validated"
"33","tarbase","","hsa-miR-147b","MAPK6","5597","ENSG00000069956","Degradome sequencing","negative","","validated"
"34","tarbase","","hsa-miR-147b","RPL28","6158","ENSG00000108107","Degradome sequencing","positive","","validated"
"35","tarbase","","hsa-miR-147b","SH3BGRL","6451","ENSG00000131171","Degradome sequencing","negative","","validated"
"36","tarbase","","hsa-miR-147b","SOAT1","6646","ENSG00000057252","Degradome sequencing","positive","","validated"
"37","tarbase","","hsa-miR-147b","SRF","6722","ENSG00000112658","Degradome sequencing","positive","","validated"
"38","tarbase","","hsa-miR-147b","THY1","7070","ENSG00000154096","Degradome sequencing//Degradome sequencing","positive","","validated"
"39","tarbase","","hsa-miR-147b","WEE1","7465","ENSG00000166483","Degradome sequencing","positive","","validated"
"40","tarbase","","hsa-miR-147b","ZFAND5","7763","ENSG00000107372","Degradome sequencing","positive","","validated"
"41","tarbase","","hsa-miR-147b","ZNF217","7764","ENSG00000171940","Degradome sequencing","positive","","validated"
"42","tarbase","","hsa-miR-147b","ALDH5A1","7915","ENSG00000112294","Degradome sequencing","positive","","validated"
"43","tarbase","","hsa-miR-147b","DYRK3","8444","ENSG00000143479","Degradome sequencing","positive","","validated"
"44","tarbase","","hsa-miR-147b","KCNK5","8645","ENSG00000164626","Degradome sequencing","positive","","validated"
"45","tarbase","","hsa-miR-147b","EIF3H","8667","ENSG00000147677","Degradome sequencing","positive","","validated"
"46","tarbase","","hsa-miR-147b","LIMD1","8994","ENSG00000144791","Degradome sequencing","positive","","validated"
"47","tarbase","","hsa-miR-147b","B4GALT5","9334","ENSG00000158470","Degradome sequencing","positive","","validated"
"48","tarbase","","hsa-miR-147b","BAG2","9532","ENSG00000112208","Degradome sequencing","positive","","validated"
"49","tarbase","","hsa-miR-147b","AKAP12","9590","ENSG00000131016","Degradome sequencing","positive","","validated"
"50","tarbase","","hsa-miR-147b","LPGAT1","9926","ENSG00000123684","Degradome sequencing","positive","","validated"
"51","tarbase","","hsa-miR-147b","ABCC5","10057","ENSG00000114770","Degradome sequencing","positive","","validated"
"52","tarbase","","hsa-miR-147b","SCAMP3","10067","ENSG00000116521","Degradome sequencing","positive","","validated"
"53","tarbase","","hsa-miR-147b","LRPPRC","10128","ENSG00000138095","Degradome sequencing","positive","","validated"
"54","tarbase","","hsa-miR-147b","IFITM3","10410","ENSG00000142089","Degradome sequencing","positive","","validated"
"55","tarbase","","hsa-miR-147b","HNRNPUL1","11100","ENSG00000105323","Degradome sequencing","positive","","validated"
"56","tarbase","","hsa-miR-147b","CIT","11113","ENSG00000122966","Degradome sequencing//Degradome sequencing","positive","","validated"
"57","tarbase","","hsa-miR-147b","DNAJC8","22826","ENSG00000126698","Degradome sequencing","positive","","validated"
"58","tarbase","","hsa-miR-147b","PAXIP1","22976","ENSG00000157212","Degradome sequencing","positive","","validated"
"59","tarbase","","hsa-miR-147b","ACIN1","22985","ENSG00000100813","Degradome sequencing","positive","","validated"
"60","tarbase","","hsa-miR-147b","USP33","23032","ENSG00000077254","Degradome sequencing","positive","","validated"
"61","tarbase","","hsa-miR-147b","NUP210","23225","ENSG00000132182","Degradome sequencing","positive","","validated"
"62","tarbase","","hsa-miR-147b","SRRM2","23524","ENSG00000167978","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"63","tarbase","","hsa-miR-147b","TNPO2","30000","ENSG00000105576","Degradome sequencing","positive","","validated"
"64","tarbase","","hsa-miR-147b","EHD2","30846","ENSG00000024422","Degradome sequencing","negative","","validated"
"65","tarbase","","hsa-miR-147b","LEF1","51176","ENSG00000138795","Degradome sequencing","positive","","validated"
"66","tarbase","","hsa-miR-147b","IER5","51278","ENSG00000162783","Degradome sequencing","positive","","validated"
"67","tarbase","","hsa-miR-147b","CPSF3","51692","ENSG00000119203","Degradome sequencing","positive","","validated"
"68","tarbase","","hsa-miR-147b","FGFRL1","53834","ENSG00000127418","Degradome sequencing","positive","","validated"
"69","tarbase","","hsa-miR-147b","BCOR","54880","ENSG00000183337","Degradome sequencing","positive","","validated"
"70","tarbase","","hsa-miR-147b","CHDH","55349","ENSG00000016391","Degradome sequencing","positive","","validated"
"71","tarbase","","hsa-miR-147b","ANKRD10","55608","ENSG00000088448","Degradome sequencing","positive","","validated"
"72","tarbase","","hsa-miR-147b","CHD7","55636","ENSG00000171316","Degradome sequencing","positive","","validated"
"73","tarbase","","hsa-miR-147b","HIF1AN","55662","ENSG00000166135","Degradome sequencing","positive","","validated"
"74","tarbase","","hsa-miR-147b","ARHGEF40","55701","ENSG00000165801","Degradome sequencing","positive","","validated"
"75","tarbase","","hsa-miR-147b","LRRC8A","56262","ENSG00000136802","Degradome sequencing","positive","","validated"
"76","tarbase","","hsa-miR-147b","ERGIC1","57222","ENSG00000113719","Degradome sequencing","positive","","validated"
"77","tarbase","","hsa-miR-147b","ZNF512B","57473","ENSG00000196700","Degradome sequencing","positive","","validated"
"78","tarbase","","hsa-miR-147b","TRIB3","57761","ENSG00000101255","Degradome sequencing","positive","","validated"
"79","tarbase","","hsa-miR-147b","VKORC1","79001","ENSG00000167397","Degradome sequencing","positive","","validated"
"80","tarbase","","hsa-miR-147b","CHD9","80205","ENSG00000177200","Degradome sequencing","positive","","validated"
"81","tarbase","","hsa-miR-147b","LMF2","91289","ENSG00000100258","Degradome sequencing","positive","","validated"
"82","tarbase","","hsa-miR-147b","SLC2A13","114134","ENSG00000151229","Degradome sequencing","positive","","validated"
"83","tarbase","","hsa-miR-147b","SAMD8","142891","ENSG00000156671","Degradome sequencing","positive","","validated"
"84","tarbase","","hsa-miR-147b","ZBTB38","253461","ENSG00000177311","Degradome sequencing","positive","","validated"
"85","tarbase","","hsa-miR-147b","CERS6","253782","ENSG00000172292","Degradome sequencing","positive","","validated"
"86","tarbase","","hsa-miR-147b","LAMTOR4","389541","ENSG00000188186","Degradome sequencing","positive","","validated"
"87","tarbase","","hsa-miR-147b","CPS1","1373","ENSG00000021826","Degradome sequencing","positive","","validated"
"88","tarbase","","hsa-miR-147b","IFITM2","10581","ENSG00000185201","Degradome sequencing","positive","","validated"
"89","tarbase","","hsa-miR-147b","PEG10","23089","ENSG00000242265","Degradome sequencing","positive","","validated"
"90","tarbase","","hsa-miR-147b","RNH1","6050","ENSG00000023191","Degradome sequencing","positive","","validated"
"91","tarbase","","hsa-miR-147b","BDKRB2","624","ENSG00000168398","Degradome sequencing","negative","","validated"
"92","tarbase","","hsa-miR-147b","GART","2618","ENSG00000159131","Degradome sequencing","positive","","validated"
"93","tarbase","","hsa-miR-147b","ZNF260","339324","ENSG00000254004","Degradome sequencing","positive","","validated"
"94","tarbase","","hsa-miR-147b","ZNF765","91661","ENSG00000196417","Degradome sequencing","positive","","validated"
"95","tarbase","","hsa-miR-147b","FBXL19","54620","ENSG00000099364","Degradome sequencing","positive","","validated"
"96","tarbase","","hsa-miR-147b","PSMA4","5685","ENSG00000041357","Degradome sequencing","negative","","validated"
"97","tarbase","","hsa-miR-147b","CEP170B","283638","ENSG00000099814","Degradome sequencing","positive","","validated"
"98","tarbase","","hsa-miR-147b","PPHLN1","51535","ENSG00000134283","Degradome sequencing","positive","","validated"
"99","tarbase","","hsa-miR-147b","ZNF268","10795","ENSG00000090612","Degradome sequencing","positive","","validated"
"100","tarbase","","hsa-miR-147b","ATG16L1","55054","ENSG00000085978","Degradome sequencing","positive","","validated"
"101","tarbase","","hsa-miR-147b","ADAM11","4185","ENSG00000073670","Degradome sequencing","positive","","validated"
"102","tarbase","","hsa-miR-147b","PITX1","5307","ENSG00000069011","Degradome sequencing","positive","","validated"
"103","tarbase","","hsa-miR-147b","PTN","5764","ENSG00000105894","Degradome sequencing","positive","","validated"
"104","tarbase","","hsa-miR-147b","RAP2B","5912","ENSG00000181467","Degradome sequencing","positive","","validated"
"105","tarbase","","hsa-miR-147b","SDHD","6392","ENSG00000204370","Degradome sequencing","positive","","validated"
"106","tarbase","","hsa-miR-147b","THRAP3","9967","ENSG00000054118","Degradome sequencing","positive","","validated"
"107","tarbase","","hsa-miR-147b","MCHR1","2847","ENSG00000128285","Degradome sequencing","positive","","validated"
"108","tarbase","","hsa-miR-147b","RASGRF2","5924","ENSG00000113319","Degradome sequencing//Degradome sequencing","positive","","validated"
"109","tarbase","","hsa-miR-147b","AKAP10","11216","ENSG00000108599","Degradome sequencing","positive","","validated"
"110","tarbase","","hsa-miR-147b","SEPHS2","22928","ENSG00000179918","Degradome sequencing","positive","","validated"
"111","tarbase","","hsa-miR-147b","PRRC2B","84726","ENSG00000130723","Degradome sequencing","positive","","validated"
"112","tarbase","","hsa-miR-147b","ZNF324","25799","ENSG00000083812","Degradome sequencing","positive","","validated"
"113","tarbase","","hsa-miR-147b","KIAA0355","9710","ENSG00000166398","Degradome sequencing","positive","","validated"
"114","tarbase","","hsa-miR-147b","MON1B","22879","ENSG00000103111","Degradome sequencing","positive","","validated"
"115","tarbase","","hsa-miR-147b","FNBP4","23360","ENSG00000109920","Degradome sequencing","positive","","validated"
"116","tarbase","","hsa-miR-147b","FAM90A1","55138","ENSG00000171847","Degradome sequencing","positive","","validated"
"117","tarbase","","hsa-miR-147b","ZNF444","55311","ENSG00000167685","Degradome sequencing","positive","","validated"
"118","tarbase","","hsa-miR-147b","KDM6A","7403","ENSG00000147050","Degradome sequencing","positive","","validated"
"119","tarbase","","hsa-miR-147b","INTS3","65123","ENSG00000143624","Degradome sequencing","positive","","validated"
"120","tarbase","","hsa-miR-147b","RNF122","79845","ENSG00000133874","Degradome sequencing","positive","","validated"
"121","tarbase","","hsa-miR-147b","CECR2","27443","ENSG00000099954","Degradome sequencing","positive","","validated"
"122","tarbase","","hsa-miR-147b","FBL","2091","ENSG00000105202","Degradome sequencing","positive","","validated"
"123","tarbase","","hsa-miR-147b","DAPK3","1613","ENSG00000167657","Degradome sequencing","positive","","validated"
"124","tarbase","","hsa-miR-147b","JRK","8629","ENSG00000234616","Degradome sequencing","positive","","validated"
"125","tarbase","","hsa-miR-147b","CEMIP","57214","ENSG00000103888","Degradome sequencing","positive","","validated"
"126","tarbase","","hsa-miR-147b","SEPTIN2","4735","ENSG00000168385","Degradome sequencing","positive","","validated"
"127","tarbase","","hsa-miR-147b","MARCHF6","10299","ENSG00000145495","Degradome sequencing","positive","","validated"
"128","tarbase","","hsa-miR-147b","CAVIN1","284119","ENSG00000177469","Degradome sequencing","positive","","validated"
"129","tarbase","","hsa-miR-147b","H3C12","8356","ENSG00000197153","Degradome sequencing","positive","","validated"
"130","tarbase","","hsa-miR-147b","CGAS","115004","ENSG00000164430","Degradome sequencing","positive","","validated"
"131","tarbase","","hsa-miR-217","PTEN","5728","ENSG00000171862","Degradome sequencing//Degradome sequencing","positive","","validated"
"132","tarbase","","hsa-miR-217","MCL1","4170","ENSG00000143384","Degradome sequencing","positive","","validated"
"133","tarbase","","hsa-miR-217","KRAS","3845","ENSG00000133703","Degradome sequencing","positive","","validated"
"134","tarbase","","hsa-miR-217","TRIM2","23321","ENSG00000109654","Degradome sequencing","positive","","validated"
"135","tarbase","","hsa-miR-217","SLC17A5","26503","ENSG00000119899","Degradome sequencing","positive","","validated"
"136","tarbase","","hsa-miR-217","PTTG1IP","754","ENSG00000183255","Degradome sequencing","positive","","validated"
"137","tarbase","","hsa-miR-217","CD44","960","ENSG00000026508","Degradome sequencing","positive","","validated"
"138","tarbase","","hsa-miR-217","SFPQ","6421","ENSG00000116560","Degradome sequencing","positive","","validated"
"139","tarbase","","hsa-miR-217","FCHO2","115548","ENSG00000157107","Degradome sequencing","positive","","validated"
"140","tarbase","","hsa-miR-217","CD59","966","ENSG00000085063","Degradome sequencing","positive","","validated"
"141","tarbase","","hsa-miR-217","TNFRSF21","27242","ENSG00000146072","Degradome sequencing","positive","","validated"
"142","tarbase","","hsa-miR-217","MSH2","4436","ENSG00000095002","Degradome sequencing","positive","","validated"
"143","tarbase","","hsa-miR-217","HSP90B1","7184","ENSG00000166598","Degradome sequencing","positive","","validated"
"144","tarbase","","hsa-miR-217","ADAMTS1","9510","ENSG00000154734","Degradome sequencing","positive","","validated"
"145","tarbase","","hsa-miR-217","EZH2","2146","ENSG00000106462","Degradome sequencing//Degradome sequencing","positive","","validated"
"146","tarbase","","hsa-miR-217","DICER1","23405","ENSG00000100697","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"147","tarbase","","hsa-miR-217","HIF1A","3091","ENSG00000100644","Degradome sequencing","positive","","validated"
"148","tarbase","","hsa-miR-217","VIM","7431","ENSG00000026025","Degradome sequencing//Degradome sequencing","negative","","validated"
"149","tarbase","","hsa-miR-217","HGS","9146","ENSG00000185359","Degradome sequencing","positive","","validated"
"150","tarbase","","hsa-miR-217","TRPS1","7227","ENSG00000104447","Degradome sequencing","positive","","validated"
"151","tarbase","","hsa-miR-217","CDH1","999","ENSG00000039068","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"152","tarbase","","hsa-miR-217","ELK3","2004","ENSG00000111145","Degradome sequencing","positive","","validated"
"153","tarbase","","hsa-miR-217","AGO3","192669","ENSG00000126070","Degradome sequencing","positive","","validated"
"154","tarbase","","hsa-miR-217","BNIP3L","665","ENSG00000104765","Degradome sequencing","positive","","validated"
"155","tarbase","","hsa-miR-217","NR4A2","4929","ENSG00000153234","Degradome sequencing","positive","","validated"
"156","tarbase","","hsa-miR-217","WDR37","22884","ENSG00000047056","Degradome sequencing","positive","","validated"
"157","tarbase","","hsa-miR-217","TGFBR1","7046","ENSG00000106799","Degradome sequencing","negative","","validated"
"158","tarbase","","hsa-miR-217","SLC7A11","23657","ENSG00000151012","Degradome sequencing","positive","","validated"
"159","tarbase","","hsa-miR-217","CLASP2","23122","ENSG00000163539","Degradome sequencing","positive","","validated"
"160","tarbase","","hsa-miR-217","PTP4A1","7803","ENSG00000112245","Degradome sequencing","positive","","validated"
"161","tarbase","","hsa-miR-217","ATF1","466","ENSG00000123268","Degradome sequencing","positive","","validated"
"162","tarbase","","hsa-miR-217","ATP1B1","481","ENSG00000143153","Degradome sequencing","positive","","validated"
"163","tarbase","","hsa-miR-217","DST","667","ENSG00000151914","Degradome sequencing","positive","","validated"
"164","tarbase","","hsa-miR-217","CALD1","800","ENSG00000122786","Degradome sequencing","positive","","validated"
"165","tarbase","","hsa-miR-217","SERPINH1","871","ENSG00000149257","Degradome sequencing","positive","","validated"
"166","tarbase","","hsa-miR-217","AP2S1","1175","ENSG00000042753","Degradome sequencing","positive","","validated"
"167","tarbase","","hsa-miR-217","COPB1","1315","ENSG00000129083","Degradome sequencing","positive","","validated"
"168","tarbase","","hsa-miR-217","CLDN4","1364","ENSG00000189143","Degradome sequencing","positive","","validated"
"169","tarbase","","hsa-miR-217","CSNK1A1","1452","ENSG00000113712","Degradome sequencing","positive","","validated"
"170","tarbase","","hsa-miR-217","CTNS","1497","ENSG00000040531","Degradome sequencing","positive","","validated"
"171","tarbase","","hsa-miR-217","CTNNB1","1499","ENSG00000168036","Degradome sequencing","negative","","validated"
"172","tarbase","","hsa-miR-217","DSP","1832","ENSG00000096696","Degradome sequencing//Degradome sequencing","positive","","validated"
"173","tarbase","","hsa-miR-217","LPAR1","1902","ENSG00000198121","Degradome sequencing","positive","","validated"
"174","tarbase","","hsa-miR-217","EIF1AX","1964","ENSG00000173674","Degradome sequencing","positive","","validated"
"175","tarbase","","hsa-miR-217","EPB41","2035","ENSG00000159023","Degradome sequencing","positive","","validated"
"176","tarbase","","hsa-miR-217","EVC","2121","ENSG00000072840","Degradome sequencing","positive","","validated"
"177","tarbase","","hsa-miR-217","FYN","2534","ENSG00000010810","Degradome sequencing","positive","","validated"
"178","tarbase","","hsa-miR-217","GLG1","2734","ENSG00000090863","Degradome sequencing","positive","","validated"
"179","tarbase","","hsa-miR-217","GNAI1","2770","ENSG00000127955","Degradome sequencing","positive","","validated"
"180","tarbase","","hsa-miR-217","CXCL2","2920","ENSG00000081041","Degradome sequencing","negative","","validated"
"181","tarbase","","hsa-miR-217","HSPA4","3308","ENSG00000170606","Degradome sequencing","positive","","validated"
"182","tarbase","","hsa-miR-217","IFRD1","3475","ENSG00000006652","Degradome sequencing","positive","","validated"
"183","tarbase","","hsa-miR-217","IGF1R","3480","ENSG00000140443","Degradome sequencing","positive","","validated"
"184","tarbase","","hsa-miR-217","IGFBP2","3485","ENSG00000115457","Degradome sequencing","positive","","validated"
"185","tarbase","","hsa-miR-217","ILF3","3609","ENSG00000129351","Degradome sequencing","positive","","validated"
"186","tarbase","","hsa-miR-217","IREB2","3658","ENSG00000136381","Degradome sequencing","positive","","validated"
"187","tarbase","","hsa-miR-217","KCNK1","3775","ENSG00000135750","Degradome sequencing","positive","","validated"
"188","tarbase","","hsa-miR-217","SMAD7","4092","ENSG00000101665","Degradome sequencing//Degradome sequencing","positive","","validated"
"189","tarbase","","hsa-miR-217","CD46","4179","ENSG00000117335","Degradome sequencing","positive","","validated"
"190","tarbase","","hsa-miR-217","NAP1L1","4673","ENSG00000187109","Degradome sequencing","positive","","validated"
"191","tarbase","","hsa-miR-217","OAZ1","4946","ENSG00000104904","Degradome sequencing","positive","","validated"
"192","tarbase","","hsa-miR-217","OXA1L","5018","ENSG00000155463","Degradome sequencing","positive","","validated"
"193","tarbase","","hsa-miR-217","PAFAH1B2","5049","ENSG00000168092","Degradome sequencing","positive","","validated"
"194","tarbase","","hsa-miR-217","PLS3","5358","ENSG00000102024","Degradome sequencing","positive","","validated"
"195","tarbase","","hsa-miR-217","PPP1CB","5500","ENSG00000213639","Degradome sequencing","positive","","validated"
"196","tarbase","","hsa-miR-217","PRKAA1","5562","ENSG00000132356","Degradome sequencing","positive","","validated"
"197","tarbase","","hsa-miR-217","LGMN","5641","ENSG00000100600","Degradome sequencing","positive","","validated"
"198","tarbase","","hsa-miR-217","PTPRF","5792","ENSG00000142949","Degradome sequencing","positive","","validated"
"199","tarbase","","hsa-miR-217","RAD23B","5887","ENSG00000119318","Degradome sequencing","positive","","validated"
"200","tarbase","","hsa-miR-217","RPS6KA3","6197","ENSG00000177189","Degradome sequencing//Degradome sequencing","positive","","validated"
"201","tarbase","","hsa-miR-217","SLC7A2","6542","ENSG00000003989","Degradome sequencing","positive","","validated"
"202","tarbase","","hsa-miR-217","SNAI1","6615","ENSG00000124216","Degradome sequencing","negative","","validated"
"203","tarbase","","hsa-miR-217","TMSB4X","7114","ENSG00000205542","Degradome sequencing","positive","","validated"
"204","tarbase","","hsa-miR-217","USP1","7398","ENSG00000162607","Degradome sequencing","positive","","validated"
"205","tarbase","","hsa-miR-217","XPC","7508","ENSG00000154767","Degradome sequencing","positive","","validated"
"206","tarbase","","hsa-miR-217","SF1","7536","ENSG00000168066","Degradome sequencing","positive","","validated"
"207","tarbase","","hsa-miR-217","LRP8","7804","ENSG00000157193","Degradome sequencing","positive","","validated"
"208","tarbase","","hsa-miR-217","CSDE1","7812","ENSG00000009307","Degradome sequencing","positive","","validated"
"209","tarbase","","hsa-miR-217","REEP5","7905","ENSG00000129625","Degradome sequencing","positive","","validated"
"210","tarbase","","hsa-miR-217","DEK","7913","ENSG00000124795","Degradome sequencing","positive","","validated"
"211","tarbase","","hsa-miR-217","DDX39B","7919","ENSG00000198563","Degradome sequencing","positive","","validated"
"212","tarbase","","hsa-miR-217","FXR1","8087","ENSG00000114416","Degradome sequencing","positive","","validated"
"213","tarbase","","hsa-miR-217","ARID1A","8289","ENSG00000117713","Degradome sequencing","positive","","validated"
"214","tarbase","","hsa-miR-217","EEA1","8411","ENSG00000102189","Degradome sequencing","positive","","validated"
"215","tarbase","","hsa-miR-217","PPM1D","8493","ENSG00000170836","Degradome sequencing","negative","","validated"
"216","tarbase","","hsa-miR-217","CDC14A","8556","ENSG00000079335","Degradome sequencing","positive","","validated"
"217","tarbase","","hsa-miR-217","EDF1","8721","ENSG00000107223","Degradome sequencing","positive","","validated"
"218","tarbase","","hsa-miR-217","ASAP2","8853","ENSG00000151693","Degradome sequencing","positive","","validated"
"219","tarbase","","hsa-miR-217","SH3PXD2A","9644","ENSG00000107957","Degradome sequencing","positive","","validated"
"220","tarbase","","hsa-miR-217","SLC25A44","9673","ENSG00000160785","Degradome sequencing","positive","","validated"
"221","tarbase","","hsa-miR-217","ZBED4","9889","ENSG00000100426","Degradome sequencing","positive","","validated"
"222","tarbase","","hsa-miR-217","HNRNPR","10236","ENSG00000125944","Degradome sequencing","positive","","validated"
"223","tarbase","","hsa-miR-217","ARIH2","10425","ENSG00000177479","Degradome sequencing","positive","","validated"
"224","tarbase","","hsa-miR-217","UNC13B","10497","ENSG00000198722","Degradome sequencing","positive","","validated"
"225","tarbase","","hsa-miR-217","ARL6IP5","10550","ENSG00000144746","Degradome sequencing","positive","","validated"
"226","tarbase","","hsa-miR-217","ZMYND11","10771","ENSG00000015171","Degradome sequencing","positive","","validated"
"227","tarbase","","hsa-miR-217","SRSF10","10772","ENSG00000188529","Degradome sequencing","positive","","validated"
"228","tarbase","","hsa-miR-217","ASCC3","10973","ENSG00000112249","Degradome sequencing","positive","","validated"
"229","tarbase","","hsa-miR-217","CYB561D2","11068","ENSG00000114395","Degradome sequencing","positive","","validated"
"230","tarbase","","hsa-miR-217","DIDO1","11083","ENSG00000101191","Degradome sequencing","positive","","validated"
"231","tarbase","","hsa-miR-217","AKAP11","11215","ENSG00000023516","Degradome sequencing","positive","","validated"
"232","tarbase","","hsa-miR-217","COPZ1","22818","ENSG00000111481","Degradome sequencing","positive","","validated"
"233","tarbase","","hsa-miR-217","MTF2","22823","ENSG00000143033","Degradome sequencing","positive","","validated"
"234","tarbase","","hsa-miR-217","HSPA4L","22824","ENSG00000164070","Degradome sequencing","positive","","validated"
"235","tarbase","","hsa-miR-217","XPO7","23039","ENSG00000130227","Degradome sequencing","positive","","validated"
"236","tarbase","","hsa-miR-217","KHNYN","23351","ENSG00000100441","Degradome sequencing","positive","","validated"
"237","tarbase","","hsa-miR-217","UBR4","23352","ENSG00000127481","Degradome sequencing//Degradome sequencing","positive","","validated"
"238","tarbase","","hsa-miR-217","SUN1","23353","ENSG00000164828","Degradome sequencing","positive","","validated"
"239","tarbase","","hsa-miR-217","MED13L","23389","ENSG00000123066","Degradome sequencing","positive","","validated"
"240","tarbase","","hsa-miR-217","TARDBP","23435","ENSG00000120948","Degradome sequencing","positive","","validated"
"241","tarbase","","hsa-miR-217","SF3B3","23450","ENSG00000189091","Degradome sequencing","positive","","validated"
"242","tarbase","","hsa-miR-217","ARL2BP","23568","ENSG00000102931","Degradome sequencing","positive","","validated"
"243","tarbase","","hsa-miR-217","TMEM245","23731","ENSG00000106771","Degradome sequencing","positive","","validated"
"244","tarbase","","hsa-miR-217","GLCE","26035","ENSG00000138604","Degradome sequencing","positive","","validated"
"245","tarbase","","hsa-miR-217","LTN1","26046","ENSG00000198862","Degradome sequencing","positive","","validated"
"246","tarbase","","hsa-miR-217","PHGDH","26227","ENSG00000092621","Degradome sequencing","positive","","validated"
"247","tarbase","","hsa-miR-217","AP3M1","26985","ENSG00000185009","Degradome sequencing","positive","","validated"
"248","tarbase","","hsa-miR-217","RNF11","26994","ENSG00000123091","Degradome sequencing//Degradome sequencing","positive","","validated"
"249","tarbase","","hsa-miR-217","UBQLN1","29979","ENSG00000135018","Degradome sequencing","positive","","validated"
"250","tarbase","","hsa-miR-217","SLC38A2","54407","ENSG00000134294","Degradome sequencing","positive","","validated"
"251","tarbase","","hsa-miR-217","WDR74","54663","ENSG00000133316","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"252","tarbase","","hsa-miR-217","SLC35F2","54733","ENSG00000110660","Degradome sequencing","positive","","validated"
"253","tarbase","","hsa-miR-217","ZRANB1","54764","ENSG00000019995","Degradome sequencing","positive","","validated"
"254","tarbase","","hsa-miR-217","FBXO34","55030","ENSG00000178974","Degradome sequencing","positive","","validated"
"255","tarbase","","hsa-miR-217","CDV3","55573","ENSG00000091527","Degradome sequencing","positive","","validated"
