"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051303","GO:0051303","establishment of chromosome localization","99/14183","108/18870",9.6359843063252e-06,8.45869531462954e-05,4.56441361878562e-05,"5925/324/9212/1778/3192/4292/7320/8766/23212/23636/27183/55143/55166/81620/150465/10524/51112/151648/891/9928/51115/81565/3837/3619/3833/9184/283489/9183/57132/57405/23172/472/332/7756/8850/9525/11243/25978/51652/51510/56155/10540/284071/84142/1894/81929/81930/27436/1063/4751/29127/54820/55920/81610/84722/147841/256364/8379/998/113130/1062/2669/10403/11004/22919/83540/55055/55201/8452/9735/27243/79980/5119/1060/10464/57082/8678/79003/8697/54908/91272/245711/10615/7013/29082/4926/22933/23353/79643/91782/128866/152185/90417/92421/54984/25936/3835/145645/1731",99
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","99/14183","108/18870",9.6359843063252e-06,8.45869531462954e-05,4.56441361878562e-05,"1213/22841/64114/7430/60/382/2181/4035/5525/6809/10857/25831/27183/55625/8500/3799/10959/25999/5581/65125/367/493/3688/6711/10490/25921/84687/1739/1969/3675/5780/8301/8878/23433/112609/27032/10580/116372/8048/2048/5583/27237/2852/207/5295/5357/9495/26060/65267/1173/8417/29801/391/1956/598/1201/1445/2633/5170/7124/8650/8673/29098/10434/10399/2042/54209/91461/56246/342667/6248/4323/55022/6769/5584/5621/51201/9528/163882/3630/3958/26119/5296/7040/1020/131578/245812/51548/9482/56850/11079/9912/160622/246329/89780/10551/65266/57628/7429",99
"GO:0044380","GO:0044380","protein localization to cytoskeleton","57/14183","59/18870",9.78821357076434e-06,8.56872047891224e-05,4.62378451933012e-05,"324/3192/4130/6790/8766/22924/23636/58489/4281/2804/9585/10982/84376/84687/283489/5108/55125/7272/1453/1729/2932/9857/9903/29887/1855/10540/64770/25/23386/81610/286077/137886/81926/9851/22994/6491/22919/79648/636/26005/51104/55968/246176/9727/10464/9419/585/51134/10634/11043/10615/57787/11190/4926/146057/3356/55722",57
"GO:0071168","GO:0071168","protein localization to chromatin","57/14183","59/18870",9.78821357076434e-06,8.56872047891224e-05,4.62378451933012e-05,"51176/51535/4436/2146/142/1058/7443/253714/23613/200558/55506/2099/7415/25836/254394/23272/8364/121504/9555/3009/8365/80124/140690/8294/3720/23063/3012/8335/8363/6047/5347/5885/23558/29072/10856/8360/8366/8368/51588/8367/8370/222229/84515/1025/91782/157570/221496/51548/4796/112869/8359/8970/6688/100129583/554313/51149/8362",57
"GO:0090276","GO:0090276","regulation of peptide hormone secretion","171/14183","195/18870",9.91364746023147e-06,8.66662212126957e-05,4.67661342178561e-05,"6659/55636/56262/27230/8660/5978/2308/2182/5208/5579/5991/6720/7074/90007/9066/6934/23236/222546/5211/6566/3091/2550/3172/9575/5581/5573/55638/5213/5530/3569/5781/6352/3767/2767/3033/25924/952/1131/2044/2281/2850/3553/3708/4843/8609/8622/23409/51762/1813/94121/5532/1113/2151/3745/5950/4825/7349/2852/51714/3667/5587/18/56943/2150/5007/5106/6717/7124/8864/415116/9463/5127/2781/572/57555/10312/91608/84876/1393/6690/9572/114/84522/133308/4856/7260/7447/1946/2147/2266/3670/3741/7021/7351/9255/23435/6616/2029/2746/3814/114131/8447/100381270/150/1080/1374/23178/26154/51092/2641/51768/79751/338557/9607/3717/406/6514/5566/6804/55107/286676/240/9971/3630/3625/4041/4760/6422/11069/25874/54795/90550/252983/91942/1268/51548/84300/65985/8600/9854/5715/6833/65220/2695/130399/2864/3170/9501/3077/23410/6755/8111/2867/2691/388581/2244/116/169026/2243/7849/131177/11132/8938/2696/111/2822/1392/63036/353500/57818/9024",171
"GO:0007612","GO:0007612","learning","134/14183","150/18870",9.96348356977152e-06,8.69825764248684e-05,4.69368432911948e-05,"6722/5764/378/7832/6310/5743/2915/3064/3643/4130/4915/7248/8554/26047/92521/1141/23236/57338/57144/338811/3815/3091/2903/4297/85461/673/8061/23542/23237/54915/2055/22941/7846/3845/3688/4204/84687/84896/23657/9775/351/2353/5649/9241/1139/1816/2534/3156/4763/6505/8622/10396/22943/23259/23208/1813/2558/9378/342371/5532/4885/2048/23152/7349/577/8867/25769/57468/2258/25/1201/1497/5577/7162/8086/10411/28964/50944/64084/440275/65009/7416/7054/590/3269/5538/10716/9379/54112/4212/6865/57502/6616/164312/143941/477/9369/7097/1742/41/6529/51204/55236/6547/81832/84446/109/1020/1621/5641/10347/8704/9486/10882/60626/90410/54413/6833/1996/5896/4987/2902/6543/266743/27023/84152/2019/1812/8831/6900/22829/10636/22986/64220",134
"GO:0022037","GO:0022037","metencephalon development","104/14183","114/18870",1.01766066713394e-05,8.87216338118272e-05,4.78752595511062e-05,"2618/596/372/2146/1399/7157/1386/1398/1902/2296/2736/3480/6095/6712/7515/9612/54910/136319/8861/4512/3975/3184/8851/9928/57107/4538/91137/7846/4204/10427/6752/6608/5781/2735/28514/5663/23385/875/8455/256297/16/18/5270/8925/3309/5802/79809/25/5604/4967/5080/22891/471/51286/8648/23017/473/8443/23287/57502/4009/7476/5629/4669/2213/388610/6331/4192/1020/2648/3211/4760/10978/27089/2629/8704/6751/23513/85442/2895/401/538/2637/8322/4983/146057/340719/64211/3746/7471/5013/8941/9001/869/6753/429/1272/2019/124925/79934/23322/25861/5592/1600",104
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","109/14183","120/18870",1.05176269523576e-05,9.14836368599012e-05,4.93656695799379e-05,"51535/5925/4001/4609/8091/26147/11177/2146/1786/1017/3066/3070/4000/7175/8085/9320/22893/23133/23304/25942/79813/80314/144108/9869/79723/10155/54906/55506/8493/8932/10014/23028/53615/54107/57169/58487/84823/8467/5987/11176/55729/23272/3005/9112/23411/546/4204/4591/5927/55183/57673/201161/9555/3720/1111/7874/22955/54737/29128/55196/2145/51366/648/1859/3021/7141/23347/23378/80063/353274/84456/9734/10322/2931/604/672/7022/23512/51547/56154/3428/9355/11335/83989/3020/57343/80312/10664/57379/9759/8520/9646/195814/339/1788/26013/84444/3622/6839/22933/51548/90378/3146/5253/55051/3065/10013/83852/22880",109
"GO:0000281","GO:0000281","mitotic cytokinesis","82/14183","88/18870",1.05364803789687e-05,9.14836368599012e-05,4.93656695799379e-05,"387/11113/5921/324/9212/388/1058/6651/9700/23503/23636/27183/55143/60412/79884/288/3925/10112/26586/128239/9493/8826/65125/1072/3619/6711/9585/375/57132/6093/51429/332/9525/10617/10640/25978/51652/54443/149371/11021/51510/389/9475/1894/54536/112574/55763/5347/403/6683/24137/29127/84445/114327/55165/51203/9094/4628/10015/27243/55770/5119/9101/54902/585/23157/23233/55521/29082/6242/11336/79643/91782/128866/10899/129531/92421/23265/10788/200942/9820/26073",82
"GO:0046330","GO:0046330","positive regulation of JNK cascade","82/14183","88/18870",1.05364803789687e-05,9.14836368599012e-05,4.93656695799379e-05,"7099/1398/4294/6416/7474/8767/9258/9821/28996/56940/57551/90441/23236/9344/1490/1236/8324/222166/331/6504/51562/351/3553/6386/7164/9867/57630/10371/4616/51347/3552/4296/50488/3265/7477/2150/7098/7124/9770/2324/9618/4217/5609/1647/22881/60401/64127/4671/23043/6366/7476/10913/10125/4615/5871/2213/23005/29108/222643/153769/4055/6788/9479/5345/23162/8737/8600/64170/8312/3146/6363/142679/10912/59341/153090/27035/79444/54106/344558/2185/55504/10392",82
"GO:0045444","GO:0045444","fat cell differentiation","214/14183","248/18870",1.07638681980628e-05,9.33307918724547e-05,5.03624166173594e-05,"6591/1051/57761/595/8091/6789/55252/3398/5743/5292/862/7538/10413/2308/4929/7494/677/1386/3164/3192/4091/6095/6720/7204/7474/8554/22954/51043/51320/64318/84159/201163/284273/154/6934/9658/23236/171023/221395/30001/1432/1869/1389/5469/8313/7041/25836/25937/25999/28951/114885/169200/5167/51341/10498/6648/1487/3280/678/23411/1649/2033/3638/5997/79718/25819/54463/9935/2487/3569/7704/1050/6041/182/1959/650/1052/3400/3589/5156/6272/10891/23414/55885/153/222236/122953/166379/2355/2852/207/4023/8651/4088/10124/25946/51752/26580/1040/6495/3914/208/5468/9314/2167/5696/6239/7124/8864/28971/60485/80339/284207/115825/10603/114882/1385/664/688/6423/8013/8800/9572/11221/27241/55212/583/84935/6783/7021/10979/83643/5467/4037/4488/2874/4329/30812/585/9573/55908/8195/7480/59343/80149/2869/26268/1240/338557/406/144404/4882/10974/22852/25979/123016/11197/240/51316/3630/266977/655/7040/1488/3625/4041/6422/6788/7030/22933/25776/54795/79689/83862/84230/84498/94056/129685/2876/79068/51548/11007/8312/22809/3356/222008/81029/7471/2255/2624/6517/59341/63976/114899/27120/2867/582/51052/56729/83723/89780/6097/91252/64641/8840/149685/7350/6900/9580/10013/4151/252995/3764/2784",214
"GO:0007007","GO:0007007","inner mitochondrial membrane organization","40/14183","40/18870",1.08119990210857e-05,9.36207469583957e-05,5.05188798653991e-05,"10989/55735/3313/4976/9868/91137/26521/345778/1678/139322/90580/3954/6901/55750/65018/26520/57143/158234/400916/79135/54927/27069/51079/29928/26519/125988/115209/4580/26515/26517/84303/8834/10651/25813/790955/137392/79568/440574/140823/10939",40
"GO:0030865","GO:0030865","cortical cytoskeleton organization","49/14183","50/18870",1.08519420337263e-05,9.38391134069708e-05,5.06367130246143e-05,"30846/7094/7430/382/2035/3996/5048/5339/5879/27183/10787/128239/8826/11215/6093/1739/23433/54443/114793/112464/9475/1894/5357/9948/85369/391/23136/2036/2037/7124/29127/91010/10015/22871/80206/5881/3936/55012/811/3551/6242/3993/5872/29109/10788/59341/5341/752/7429",49
"GO:0051961","GO:0051961","negative regulation of nervous system development","138/14183","155/18870",1.13960504411268e-05,9.84106090261531e-05,5.31035469849682e-05,"1495/7070/5764/5925/7832/51726/23405/5978/7157/3949/2045/2664/6049/6497/7474/8408/8829/9693/22902/22920/29956/54910/56896/388585/57609/283659/58190/1499/5783/8482/3280/999/4204/84376/5108/5530/3569/4133/9283/10512/6653/10683/4771/9241/567/1745/3400/3553/4152/4763/5663/6092/6664/9037/9682/22943/2048/10371/223117/4825/23111/10507/3475/10509/56963/4851/6259/57142/2258/5802/6993/9921/5080/6696/7101/7124/7533/5728/430/9572/11221/9723/81559/374946/657/2147/9355/54437/26022/64218/7476/4504/54209/5629/55198/55558/222223/57556/1630/7097/1030/9706/57715/65078/655/1020/9423/10501/22933/706/6405/64689/79727/6833/80031/6663/6860/5309/2624/7869/23500/4099/869/3196/84504/1620/89780/10500/1746/8831/393/10505/23105/10013/9856/1600/80128/1949",138
"GO:0051651","GO:0051651","maintenance of location in cell","205/14183","237/18870",1.15309631483009e-05,9.94409041192446e-05,5.36595065956828e-05,"7070/55636/57214/148867/29899/7184/540/801/808/817/1756/2280/2316/3064/3192/3709/5048/5552/9446/10523/10945/22873/23345/23515/84959/259266/10956/288/7295/5777/7226/9472/187/23236/57338/79041/30001/51490/5756/6622/805/5144/5311/9913/10959/25998/81573/4067/23411/5581/402/1236/1649/2247/3638/11014/11315/55187/255231/81488/9168/5905/22821/6653/920/3690/6280/287/623/1627/1729/2281/3708/3932/5663/23568/83860/85477/1813/6546/143678/2852/207/10142/5587/857/3098/56704/79085/3309/5335/5371/7220/54832/3627/51141/25/10210/581/2512/3954/3973/5170/5336/6717/8733/8989/11151/55151/196541/6500/65018/5027/1193/3099/7405/11015/580/845/2147/3270/5332/23230/55704/64083/2811/25792/3710/6366/9474/55283/585/400916/57190/477/4669/2760/213/8996/6373/27069/7114/5350/811/55171/2934/5031/5566/53373/662/100820829/1020/2495/2812/3073/5331/6672/11013/11344/23353/25777/56898/129685/348/1535/2548/706/2149/6376/286527/2946/4283/57584/2815/219931/775/11079/51196/1234/3356/309/6262/6363/5788/5333/9651/6261/9001/23007/6014/54923/201140/169026/6348/1812/6263/2185/387129/6279/3074/825/9002/57158/57192/53940",205
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis","87/14183","94/18870",1.21558406270145e-05,0.000104688070697248,5.64909407232668e-05,"3205/3198/157506/7048/6935/3236/3217/7046/3200/7020/9968/3216/3975/4087/23314/1499/3219/3340/5396/25836/652/3202/27173/9775/60529/3204/50515/9241/1739/4188/5156/6664/28982/145258/4088/648/6495/55112/6899/2138/3215/57728/2737/29072/3213/4617/6913/8092/51804/7291/3218/4325/1954/116039/3227/3373/4323/4522/860/3212/3225/25902/29985/79977/2303/655/1301/2263/3211/10736/4838/7703/7043/3207/2253/3199/7484/57453/130497/80199/257/3235/5079/1746/10265/3214/6474",87
"GO:0045682","GO:0045682","regulation of epidermis development","63/14183","66/18870",1.21742705163235e-05,0.000104705298246329,5.65002369157311e-05,"8202/2146/7538/54206/677/2296/4610/54845/388585/55506/5469/4664/652/3280/2247/9555/6093/29841/81537/28514/3204/2137/2810/3858/6431/8609/79413/5583/58495/9475/4851/8626/2118/4097/7421/23764/135228/8689/6424/10626/84283/5727/247/4488/360/9573/26154/222223/50604/6820/5920/9817/79977/1594/3849/4665/4926/4831/8643/23493/126695/5068/130120",63
"GO:0042177","GO:0042177","negative regulation of protein catabolic process","103/14183","113/18870",1.24110657350635e-05,0.00010659800799132,5.75215658340935e-05,"4194/8667/2316/4085/4130/5476/6599/8239/9191/23077/84640/116986/9860/51322/8473/57589/64844/6622/2903/4089/7077/9529/51105/80011/7078/302/6815/7917/9097/11315/29761/55353/258010/6093/23450/1595/2534/3156/3326/4248/4843/7874/27074/51035/51582/80279/51374/56776/6880/4088/5270/23429/9491/5774/1956/5970/55872/5245/8724/9683/29934/55737/1728/10755/6135/9827/7079/57805/11011/9101/131377/143941/1471/54972/23400/819/3586/7076/282679/4534/2272/210/3630/6449/6625/11345/22933/51377/5300/575/29997/5045/11213/4983/4745/65992/56658/6469/153090/3077/113451/10459/2905",103
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","165/14183","188/18870",1.26402131717243e-05,0.000108420024957468,5.85047480796533e-05,"488/2030/3164/4208/5579/6809/8773/26258/26509/54407/200933/9066/3766/25953/815/63908/6622/785/5868/7779/6844/1861/673/9900/2055/2332/3688/8825/9581/11315/5908/80331/22999/8291/55327/5799/8676/3690/4763/5217/5663/23396/27345/81539/127262/140679/27445/23208/1813/2555/9378/6506/3177/1855/112476/6580/2852/8867/6581/51248/9699/10497/2668/5865/5906/6507/6857/6861/8864/9143/9342/9498/9899/10675/23557/28964/93664/6812/51222/8775/116843/116841/5027/5538/55784/120892/134957/22895/8618/10815/9379/3351/2054/2824/6539/6855/6865/10211/22930/140730/127833/6616/8541/7476/22871/57512/84062/112755/8447/477/8573/222962/6814/64130/79772/415117/41/6529/8564/6804/6570/84446/1020/1488/5864/6623/8499/9783/91683/6571/9381/23513/5413/23025/84961/6854/6833/6860/10814/440279/632/1815/6532/6582/6813/9501/9751/1136/2914/2901/6572/90019/2670/6512/57617/1812/8448/26059/9627/8938/5023/594855/5028/3764/143425",165
"GO:0007266","GO:0007266","Rho protein signal transduction","123/14183","137/18870",1.266878756212e-05,0.000108519063351332,5.8558190386879e-05,"387/1281/1278/7126/4233/388/27/396/1147/1902/2768/2840/5879/8829/10395/57493/90627/171177/201163/3925/392/394/3984/56882/56990/1072/3688/6093/83892/50650/2059/3675/10672/23365/23580/79933/286205/2151/10928/9826/57569/11135/57698/51495/157285/19/9475/6091/2909/117289/5894/9289/185/391/9411/50848/25/9886/2150/9181/10276/10602/11214/29127/65979/202243/9170/9620/398/604/23370/998/10630/9750/1012/8452/10211/29984/335/148170/57449/253980/150/397/8477/4653/2846/58480/64787/10435/79574/23189/408/25959/65078/9138/6242/4650/9423/30851/55333/348/2149/79567/4983/9754/64283/8727/4804/2859/6014/57381/84636/286530/345/10161/9290/393/23263/23221/613/9002/395",123
"GO:0043112","GO:0043112","receptor metabolic process","69/14183","73/18870",1.33911684703633e-05,0.000114552908270638,6.18141255989781e-05,"22876/3949/8239/11149/51100/54894/84133/5189/8898/6622/4734/55004/55111/9341/302/823/20/9230/55435/6653/125058/4905/255738/5663/5770/22853/9737/51510/29116/65977/83891/2060/30845/55614/151636/116985/10564/1509/2530/7405/5190/57679/5193/8678/7805/819/5192/8934/10133/5828/83737/93343/57154/50852/7040/1020/2339/5641/348/5771/23513/27065/5045/144717/43/1889/150368/5830/30849",69
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","48/14183","49/18870",1.41770560432505e-05,0.000120628008229153,6.50923225258933e-05,"5925/324/9212/3192/55143/81620/10524/151648/891/51115/3619/9184/283489/9183/57405/23172/332/7756/8850/11243/56155/84142/1894/81929/27436/4751/29127/55920/147841/8379/998/1062/10403/11004/22919/83540/55055/9735/79980/1060/57082/8678/79003/91272/10615/22933/90417/25936",48
"GO:0032968","GO:0032968","positive regulation of transcription elongation by RNA polymerase II","48/14183","49/18870",1.41770560432505e-05,0.000120628008229153,6.50923225258933e-05,"80306/114825/8621/10001/112950/219541/8861/9282/9412/8178/23613/51755/5469/1499/9439/79577/22936/23476/22916/55837/9440/9441/90390/123169/10915/904/9443/55588/81857/4686/8812/9477/9862/51003/6830/29079/1025/6837/55090/84246/400569/54797/9442/170394/2962/80237/51586/10025",48
"GO:1902275","GO:1902275","regulation of chromatin organization","48/14183","49/18870",1.41770560432505e-05,0.000120628008229153,6.50923225258933e-05,"51535/11177/1017/3192/4288/7175/23133/55209/9869/55167/6749/10155/9739/8473/9874/23028/54784/284058/3054/55729/23272/339287/51132/51230/54737/11091/55196/4300/6886/64863/1859/80063/84456/10445/11011/57343/80312/10943/134353/57379/339/54934/84148/90378/5253/55683/83852/22880",48
"GO:1902459","GO:1902459","positive regulation of stem cell population maintenance","48/14183","49/18870",1.41770560432505e-05,0.000120628008229153,6.50923225258933e-05,"8202/5978/10413/60/3066/5977/6598/6599/6602/8289/25942/55274/84312/84678/64426/8473/605/86/51742/6595/6597/79692/5926/5931/65980/58516/29998/8626/81606/25855/23506/3621/2103/5928/79595/51412/6605/80312/6760/79685/3622/7004/8819/9274/51548/63978/3065/9275",48
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","39/14183","39/18870",1.43948496582343e-05,0.000122317835829236,6.60041738013352e-05,"1051/7157/468/1388/1958/6197/7009/25942/51360/3725/3091/3516/4780/9774/1649/90993/7422/7428/2034/3162/9531/10365/56892/5598/405/3309/5970/467/22926/6195/4582/10370/4690/8440/22933/26287/84699/219736/10636",39
"GO:0043393","GO:0043393","regulation of protein binding","127/14183","142/18870",1.47695198595829e-05,0.000125090022509996,6.75000790407159e-05,"9532/23032/57761/1026/6789/9212/60/488/1398/2035/2280/3416/4035/4043/5499/5516/5599/6790/7009/7074/8239/8767/8829/9693/28996/154/5310/24144/2011/4140/6934/1454/5515/340061/118/10014/23028/53339/652/489/5580/80011/302/6815/11315/4133/6093/64388/6653/255738/351/4318/9241/567/650/2932/3676/4931/5663/5901/6590/6872/22943/25805/267/119/1855/207/857/51068/79139/627/25/581/5347/3433/7015/23557/51339/151636/64400/6737/6135/10399/56998/120892/1440/5155/5195/10211/54552/165904/1400/2622/65981/3434/5792/409/9759/3586/5899/8751/166/5566/121665/161882/54496/26119/6788/8189/10763/348/3300/8536/2801/9270/5300/129531/7448/3080/146057/9026/114769/3077/2962/89780/147138",127
"GO:0043405","GO:0043405","regulation of MAP kinase activity","127/14183","142/18870",1.47695198595829e-05,0.000125090022509996,6.75000790407159e-05,"57761/7057/27250/10114/7099/8754/2146/2260/10221/1843/1849/1906/3643/4294/5795/6885/7474/8792/80824/51755/3815/23328/28951/4067/5580/2064/2247/5997/11329/6609/5291/6653/7422/650/2246/2321/3553/4763/4908/5154/5159/5770/7164/10961/11211/11235/22943/26191/51763/80279/80310/2690/9175/4486/6317/51347/171392/8844/7251/6091/4296/7189/3265/4216/1956/5058/5468/7786/1857/5294/7124/10253/56034/2688/2081/4217/64853/5609/1856/101/3301/11221/64127/81848/120892/10178/3654/5155/10252/1908/8692/100133941/10125/150/5871/8817/7345/6188/9146/7040/9479/152559/255324/348/2629/10333/7186/152110/8600/11213/4916/2950/183/6363/142679/1815/11314/23624/153090/958/6283/1991/1950/10251/7984/10636/23533",127
"GO:0046883","GO:0046883","regulation of hormone secretion","216/14183","251/18870",1.47996041067845e-05,0.000125090022509996,6.75000790407159e-05,"6659/55636/56262/27230/8660/5978/2308/1408/1906/2182/5208/5579/5991/6720/7074/26056/90007/9066/6934/23236/222546/5211/6566/3091/3976/4089/10765/51083/2550/3172/9575/5581/5573/55638/5213/5530/3569/4824/5781/6352/3767/8723/2767/2697/3033/25924/80223/952/1131/2044/2281/2850/3553/3589/3624/3708/4843/6664/7110/8609/8622/23409/51762/1813/94121/5532/1113/2151/3745/5950/4825/7349/2852/51714/3667/5587/18/1588/185/5468/56943/2150/3623/5007/5106/6696/6717/7124/8673/8864/415116/9463/6447/5127/2781/572/57555/10312/91608/84876/1393/301/1385/6690/9572/114/84522/133308/4856/7260/7447/1946/2147/2266/3670/3741/5443/6865/7021/7351/8074/9255/23435/1908/9727/6616/2029/2746/3814/114131/8447/100381270/150/1080/1374/23178/26154/51092/2641/51768/6845/79751/338557/9607/338442/3717/406/654/6514/4602/5566/6804/55107/114897/286676/240/9971/3630/3625/4041/4760/6422/11069/25874/54795/90550/252983/91942/706/1268/51548/1407/4828/84300/65985/8600/9854/5715/6833/65220/668/183/2695/130399/134/2864/3170/5972/9501/114899/3077/23410/6755/8111/2867/5008/56729/2691/388581/2244/116/169026/2243/7849/131177/11132/8938/2696/111/2822/5028/1392/63036/353500/57818/9024",216
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","216/14183","251/18870",1.47996041067845e-05,0.000125090022509996,6.75000790407159e-05,"6591/3157/5978/4929/3930/5562/5563/6307/6720/7474/9693/10613/55163/340485/47/2805/10858/51360/120227/134429/1718/6622/29968/51302/79947/51706/23411/4790/2247/3422/3638/11160/11315/64768/20/9839/23657/23682/29881/1727/2643/427/650/1595/2246/2625/3156/3612/6309/6342/6615/6647/6713/9365/9420/9464/10005/50814/64137/114883/116150/7306/2672/4157/9517/22937/23596/79644/4435/2852/403313/2224/1588/3988/4598/26060/9807/3707/8720/7220/1719/7042/51141/1497/1717/2222/3973/5007/5106/5336/5825/7124/8864/8877/9563/10162/11001/51447/55737/114876/239/10755/3613/55331/121278/7054/11161/1385/1066/3269/4047/4948/8644/9023/9572/5092/117/5105/23262/6716/2539/10449/1582/8647/26002/26031/171546/247/165679/343/23541/4142/335/347862/4597/5629/9619/1080/8309/1593/117283/217/51478/570/654/1585/10558/55304/9677/51700/1181/1594/5031/6721/10682/3158/9971/91734/114881/1621/3028/5805/6697/6718/80270/348/2629/338/27122/283871/23600/2264/10654/9885/64801/80271/84105/653/538/1581/51422/51477/56848/340895/8912/1001/2861/434/632/5360/5409/5724/6490/7108/5745/3292/51151/27120/1609/54361/125981/1576/253430/126321/5341/2185/1109/5860/114880/5592/3293/3706/10826/51744/5028/3067",216
"GO:0001510","GO:0001510","RNA methylation","86/14183","93/18870",1.50345580397878e-05,0.000126405327688084,6.82098335175488e-05,"2091/8731/51504/81627/6628/84705/114049/23091/55783/55178/11180/29890/115708/9589/27292/64216/25917/57721/63899/144233/56339/79828/207/10785/51574/64863/83640/6636/79872/127253/51605/54482/54931/56257/4234/9836/51106/55006/29063/91893/10436/25962/4839/51093/63935/80745/23070/25840/60487/93587/64783/1787/57570/91801/158234/196074/6634/55039/29081/55798/79979/55152/96764/6894/3028/6632/24140/27037/54888/55695/339175/387338/113802/6637/6633/117246/131965/29960/221078/55621/6635/63892/25821/79066/57604/152992",86
"GO:0032436","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","86/14183","93/18870",1.50345580397878e-05,0.000126405327688084,6.82098335175488e-05,"4193/57761/9655/10221/116224/4092/6790/8554/25831/29978/29979/122809/1454/25820/26263/8313/1452/2729/4780/7415/28951/7341/54467/3304/11337/9978/6923/255488/3303/1050/1453/2932/5663/6872/25897/57630/144165/51343/1855/26259/207/857/5601/154214/9709/5347/5716/10273/23640/9604/2931/79016/10399/55212/120892/79699/5886/131377/64326/991/25898/9781/9817/55743/10425/127544/153769/90637/8078/10134/1263/6449/10444/22933/2629/6613/3300/51548/29997/8312/51667/65992/1191/90865/344558/285671",86
"GO:0045185","GO:0045185","maintenance of protein location","86/14183","93/18870",1.50345580397878e-05,0.000126405327688084,6.82098335175488e-05,"2200/2316/3192/5552/9113/10945/22873/23345/23515/5310/10956/288/7295/5756/2201/4792/5311/9913/10959/81573/1500/402/3638/5797/11014/11315/55187/9168/5905/6653/920/1627/4188/9908/23568/83860/85477/143678/207/857/3098/7529/3309/5371/54832/51141/10210/5716/8733/152404/6500/65018/3099/11015/580/4052/23230/55704/64083/25792/585/199699/400916/4793/7114/9817/3586/4794/11124/2934/51684/1020/6672/11013/11344/23353/25777/28952/129685/706/9350/286527/11079/6014/375387/51608",86
"GO:0045995","GO:0045995","regulation of embryonic development","86/14183","93/18870",1.50345580397878e-05,0.000126405327688084,6.82098335175488e-05,"9334/3643/5048/7182/7528/9320/9904/54891/79813/90102/154796/23236/3975/27042/86/1499/1810/4780/25836/51552/60436/3172/3280/1072/3911/7917/170506/25819/126731/51562/54617/28514/182/23122/983/1605/8850/23332/27330/11091/989/4851/6996/29127/10445/10856/57325/10399/6423/283899/8607/27031/125476/284217/23187/55689/26009/56983/7262/51057/6871/64855/84327/3909/3910/79816/93973/2648/8820/83444/51377/112869/4838/3908/4798/26011/7482/7471/3170/29844/130497/154288/9096/54361/89780/5015",86
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","285/14183","337/18870",1.59064513398721e-05,0.000133559702752312,7.20704202584593e-05,"6591/3486/9926/57761/157506/10499/8660/5743/5978/7157/3949/2308/142/1958/3481/3607/3643/5366/5562/5563/5571/6095/6720/8445/9612/9852/10613/10776/83667/83752/84912/90007/150094/201163/221937/2023/6934/9611/5515/5903/51360/80025/134429/8473/3815/3091/6622/6774/1642/2908/3487/7376/7415/60481/3692/51341/23411/5581/4790/402/493/2033/3638/3953/11160/11315/57673/158219/5223/57486/85300/9555/23657/2475/5163/2171/145264/57223/351/54541/133/650/2246/3553/4843/5166/5663/6615/6647/6662/7874/8850/8870/10891/23352/23409/64137/160760/8671/10580/2672/22937/11091/90673/2852/3667/207/857/405/4837/6794/10269/140710/8720/10059/254013/195827/34/4199/5465/51141/208/5468/1201/3973/6901/7124/8816/9563/10162/10295/23408/26471/28964/84706/972/9056/64223/1196/572/51094/2931/65018/55829/93974/301/672/1385/5027/26137/1066/3269/8013/8644/9023/9572/51547/7291/117/8647/26330/58526/3479/10196/343035/343/5467/23541/635/2329/4142/10464/54209/335/5629/9619/33/1374/23417/55198/55022/144811/2641/54576/57103/10062/4846/6714/7114/11182/9759/37/654/9104/11266/634/5165/51293/2053/7033/171425/51451/341/1181/1594/5031/5566/6721/51805/114897/2203/440503/5164/9971/64410/3630/26119/57521/215/978/2648/22933/348/5261/338/706/339123/27122/283871/1268/4200/51548/5771/2264/1407/64801/84277/89/11277/653/57001/134145/65990/32/1581/283120/51422/55657/56848/23038/340895/85414/3356/2695/551/632/2168/3170/5724/114899/5745/552/27120/1609/2646/51024/54361/51085/337/345/151176/388581/6097/84879/5341/2185/2330/2819/5592/4485/51744/2822/5028/229/2784",285
"GO:0051293","GO:0051293","establishment of spindle localization","55/14183","57/18870",1.62500840104272e-05,0.000136265507103227,7.35305047951047e-05,"23291/4627/29899/1058/1778/3064/3996/4085/5048/9700/10524/81565/26086/3837/1072/3688/9183/4134/2697/23122/23332/8841/56776/162282/3834/6993/5347/5080/10253/54820/126353/387755/137886/84080/10403/22919/56907/51203/128153/79648/10252/55968/54908/10615/1639/89958/84327/79816/84501/3993/4926/55755/2255/4342/441161",55
